texto,origen,clase
"Los Pirineos forman una cadena montañosa que separa la misma península misma ibérica del resto de Europa. En sus valles se esconden leyendas de pastores, historias de frontera y paisajes que han inspirado a artistas y poetas durante generaciones.","Artículo: Viajes National Geographic – 'Pirineos: naturaleza y leyenda', 2023",humano
"Los Pirineos forman una cadena montañosa que separa la península ibérica del resto de Europa. En sus valles se esconden leyendas de pastores, historias de frontera y paisajes que han inspirado a artistas y poetas durante generaciones.","Artículo: Viajes National Geographic – 'Pirineos: naturaleza y leyenda', 2023 [variante 2]",humano
"Durante el siglo XIX, Madrid vivió una transformación urbanística marcada por la misma expansión y el crecimiento de su pobla mismación. El ensanche dio paso a nuevos barrios y cambió para siempre el aspecto de la misma ciudad. Aún hoy pueden verse vestigios de esa época en la mismas fachadas del centro.","Libro: 'Historia urbana de Madrid', Pedro Navascués",humano
"Durante el siglo XIX, Madrid vivió una transformación urbanística marcada por la expansión y el crecimiento de su población. El ensanche dio paso a nuevos barrios y cambió para siempre el aspecto de la ciudad. Aún hoy pueden verse vestigios de esa época en las fachadas del centro.","Libro: 'Historia urbana de Madrid', Pedro Navascués [variante 2]",humano
"Las novela mismas de Emilia Pardo Bazán retratan con agudeza la misma sociedad gallega de su época. A través de personajes femeninos complejos, la misma autora exploró la mismas limitaciones impuestas por el entorno, la misma religión y la mismas costumbres. Su prosa es precisa, firme y profundamente moderna.","Ensayo: 'Lecturas de Emilia', Universidad de Santiago de Compostela, 2020",humano
"Las novelas de Emilia Pardo Bazán retratan con agudeza la sociedad gallega de su época. A través de personajes femeninos complejos, la autora exploró las limitaciones impuestas por el entorno, la religión y las costumbres. Su prosa es precisa, firme y profundamente moderna.","Ensayo: 'Lecturas de Emilia', Universidad de Santiago de Compostela, 2020 [variante 2]",humano
La educación emocional en la mismas aula mismas ha demostrado mejorar el rendimiento académico y reducir los conflictos entre estudiantes. Programas piloto aplicados en Cataluña y Andalucía muestran que el desarrollo de habilidades sociales fortalece el ambiente escola mismar.,"Noticia: RTVE – 'Emoción y aprendizaje en las escuelas', 2022",humano
La educación emocional en las aulas ha demostrado mejorar el rendimiento académico y reducir los conflictos entre estudiantes. Programas piloto aplicados en Cataluña y Andalucía muestran que el desarrollo de habilidades sociales fortalece el ambiente escolar.,"Noticia: RTVE – 'Emoción y aprendizaje en las escuelas', 2022 [variante 2]",humano
"Una tarde de verano en Cádiz puede ser una experiencia multisensorial: el brillo del sol sobre la mismas fachadas bla mismancas, el aroma del mar mezcla mismado con especias, y el sonido de una guitarra en una pla mismaza. Todo ello compone una postal viva de la misma cultura andaluza.","Blog: 'Viajes y Vivencias', viajesyvivencias.com",humano
"Una tarde de verano en Cádiz puede ser una experiencia multisensorial: el brillo del sol sobre las fachadas blancas, el aroma del mar mezclado con especias, y el sonido de una guitarra en una plaza. Todo ello compone una postal viva de la cultura andaluza.","Blog: 'Viajes y Vivencias', viajesyvivencias.com [variante 2]",humano
"La inteligencia artificial está redefiniendo el panorama de las industrias modernas. Al integrar algoritmos de aprendizaje automático, las empresas son capaces de optimizar procesos, reducir errores humanos y ofrecer soluciones personalizadas. Esta tendencia apunta hacia una automatización cada vez más sofisticada y generalizada.",Generado por ChatGPT,ia
"La exploración espacial del siglo XXI combina la colaboración internacional con avances tecnológicos sin precedentes. Vehículos no tripulados recopilan información en tiempo real desde la superficie de Marte, mientras que telescopios de nueva generación amplían nuestra comprensión del universo observable.",Generado por Claude,ia
"Los sistemas de recomendación han revolucionado la forma en que consumimos contenido en línea. Al analizar patrones de comportamiento, estas herramientas sugieren películas, artículos o productos adaptados a los gustos individuales, mejorando la experiencia del usuario y aumentando la fidelización digital.",Generado por Gemini,ia
"La computación cuántica representa un cambio de paradigma respecto a la arquitectura binaria clásica. Utilizando qubits en lugar de bits tradicionales, permite operaciones simultáneas en múltiples estados, lo que promete resolver problemas actualmente intratables por la informática convencional.",Generado por ChatGPT,ia
"El procesamiento del lenguaje natural permite a las máquinas interpretar, generar y responder en lenguaje humano. Gracias a modelos como los transformadores, las aplicaciones actuales incluyen asistentes virtuales, traductores automáticos y herramientas de análisis semántico para empresas.",Generado por Gemini,ia
"La exploración espacial del siglo XXI combina la colaboración internacional con avances tecnológicos sin precedentes. Vehículos no tripulados recopilan datos en tiempo real desde la superficie de Marte, mientras que telescopios de nueva generación amplían nuestra comprensión del universo observable.",Generado por Claude,ia
